iter	Logloss
0	0.6497680352
1	0.6133462977
2	0.5822409188
3	0.5532165723
4	0.5279099472
5	0.5070123251
6	0.4862873651
7	0.4685647706
8	0.4537038113
9	0.4407647778
10	0.429848298
11	0.4198018935
12	0.4107624354
13	0.4024843239
14	0.3968495013
15	0.3901700121
16	0.3839134058
17	0.3784722888
18	0.3730296517
19	0.3684258097
20	0.3645587599
21	0.3615192244
22	0.3583753568
23	0.3550930267
24	0.3525003383
25	0.3494931271
26	0.3470843651
27	0.3448760577
28	0.3425409469
29	0.3407955884
30	0.3387092377
31	0.3372553727
32	0.3357786987
33	0.3342207032
34	0.3326758707
35	0.3314301462
36	0.3302995087
37	0.3291743942
38	0.3281935625
39	0.3269150155
40	0.3262174245
41	0.3251512863
42	0.3242587272
43	0.3236187819
44	0.3228453796
45	0.3223357987
46	0.3215367844
47	0.3209005191
48	0.3202630371
49	0.3196049499
50	0.3190538759
51	0.31843239
52	0.3178905725
53	0.3170872116
54	0.3164918199
55	0.3157562241
56	0.3152251811
57	0.3147053486
58	0.3143717783
59	0.3139001924
60	0.3135373605
61	0.3131585862
62	0.3126109137
63	0.3122011913
64	0.3117048468
65	0.3114276696
66	0.3109939439
67	0.3106994992
68	0.310092843
69	0.3094990461
70	0.3090322164
71	0.3084710481
72	0.3081177953
73	0.3076190542
74	0.3073640116
75	0.3069678664
76	0.3066113157
77	0.3060733234
78	0.3056587023
79	0.3054091446
80	0.3049789856
81	0.3047997446
82	0.304539969
83	0.3043639368
84	0.3040774602
85	0.3037745499
86	0.3035289504
87	0.3031716077
88	0.3029667301
89	0.3026484976
90	0.30242736
91	0.3020264379
92	0.3017969887
93	0.3016068898
94	0.3013352573
95	0.3011585098
96	0.3008626381
97	0.3004794721
98	0.3001848335
99	0.2999865358
100	0.2998253672
101	0.2995631101
102	0.2992007692
103	0.2989835578
104	0.298781831
105	0.2985854642
106	0.2983794183
107	0.2981502518
108	0.2979323147
109	0.297704578
110	0.2975562385
111	0.2972306144
112	0.2970216691
113	0.2966977219
114	0.2965436923
115	0.2963717945
116	0.2962200563
117	0.2960474103
118	0.2958717438
119	0.295726823
120	0.2955908208
121	0.2953878975
122	0.2952310029
123	0.2951071498
124	0.2948156829
125	0.2946549229
126	0.2945347636
127	0.2942663888
128	0.2941065867
129	0.2938120008
130	0.2936440927
131	0.2934501837
132	0.2932656495
133	0.2930961155
134	0.2928555992
135	0.292717771
136	0.2925928399
137	0.292422007
138	0.2923432989
139	0.2921627099
140	0.2920288664
141	0.2918444178
142	0.2916989372
143	0.2914720299
144	0.2913743529
145	0.291252011
146	0.2909584545
147	0.2908638499
148	0.2906359341
149	0.2904647541
150	0.290321141
151	0.2901247827
152	0.2899633813
153	0.2898368122
154	0.2896775285
155	0.28945709
156	0.2892952367
157	0.2891403615
158	0.2890042283
159	0.2888735783
160	0.288789128
161	0.2885220595
162	0.2883664361
163	0.2882091373
164	0.2881215507
165	0.2880444313
166	0.2878731389
167	0.2877931682
168	0.2876714723
169	0.287525327
170	0.28741748
171	0.2872484623
172	0.2871400033
173	0.2869266809
174	0.2867762158
175	0.2866171698
176	0.2864926787
177	0.2863561525
178	0.2862800455
179	0.2861040689
180	0.2859020452
181	0.2857729776
182	0.28566922
183	0.2855896671
184	0.2854629372
185	0.2853070182
186	0.2851893019
187	0.285075295
188	0.2849769428
189	0.2846987349
190	0.2845744595
191	0.2844732948
192	0.2843582778
193	0.2842316254
194	0.2840964472
195	0.2839478479
196	0.2837641975
197	0.2836892921
198	0.2835042245
199	0.2833482833
200	0.2832059783
201	0.2831021356
202	0.2828900963
203	0.2828014082
204	0.2826359523
205	0.2825219461
206	0.2822885225
207	0.2821222006
208	0.2820020176
209	0.2819038276
210	0.2817989275
211	0.2816960017
212	0.2815466017
213	0.2814453594
214	0.2813124374
215	0.2812091644
216	0.2809948336
217	0.2808685781
218	0.2807333051
219	0.2805823929
220	0.28044951
221	0.2803506246
222	0.2802511117
223	0.2800942846
224	0.2799414659
225	0.2798187606
226	0.27971362
227	0.2796388352
228	0.2795649146
229	0.2794667547
230	0.2793197385
231	0.2791953846
232	0.2790995268
233	0.2790059431
234	0.2788727718
235	0.2788011293
236	0.2787332836
237	0.2786431325
238	0.2784997683
239	0.2783750521
240	0.2782924761
241	0.2781791794
242	0.2781120136
243	0.278019487
244	0.2779425874
245	0.2777987218
246	0.2776789449
247	0.2775947819
248	0.2774757683
249	0.277350574
250	0.2772623583
251	0.2771318704
252	0.2770069202
253	0.2768987527
254	0.2768002059
255	0.2766374119
256	0.2765454386
257	0.2764299143
258	0.2763294573
259	0.2761845721
260	0.2760891967
261	0.2759419152
262	0.2757997949
263	0.2757292113
264	0.2755834656
265	0.2755117142
266	0.2753487977
267	0.275207624
268	0.2750790248
269	0.2749232314
270	0.2747289978
271	0.2745820553
272	0.2744819924
273	0.274381886
274	0.2742964566
275	0.2742125525
276	0.2740345603
277	0.273942673
278	0.2738536728
279	0.273720876
280	0.2736336705
281	0.2735470845
282	0.2734499693
283	0.2733151011
284	0.2731787101
285	0.2730268199
286	0.2728891036
287	0.2727971238
288	0.2726436062
289	0.2725242256
290	0.2724247539
291	0.272355611
292	0.2721259522
293	0.2719852196
294	0.27185777
295	0.2717555738
296	0.2716619349
297	0.2715190931
298	0.2714319525
299	0.2713328839
300	0.2711838802
301	0.2710800474
302	0.2710055612
303	0.2709115812
304	0.2708467457
305	0.2707609519
306	0.2706853984
307	0.2705260634
308	0.2704303524
309	0.270327192
310	0.2702453661
311	0.2701577938
312	0.2701123155
313	0.2700265809
314	0.269939419
315	0.2698558242
316	0.2697523127
317	0.2696730829
318	0.2695543994
319	0.2694274643
320	0.2692978871
321	0.2692245461
322	0.2691623663
323	0.2690244853
324	0.2689134955
325	0.2688355784
326	0.2687533654
327	0.2686173051
328	0.2685464748
329	0.2684626023
330	0.2683250044
331	0.268182852
332	0.2680728955
333	0.2680000057
334	0.267926943
335	0.2678336115
336	0.2677441829
337	0.267663647
338	0.2675858128
339	0.2675096964
340	0.2674387475
341	0.2673569767
342	0.2672411102
343	0.2671762746
344	0.267142872
345	0.2670392595
346	0.2669640875
347	0.2668947751
348	0.2668583633
349	0.2667045819
350	0.2666667842
351	0.2665171669
352	0.2664073043
353	0.2663455046
354	0.2662740043
355	0.2662190301
356	0.2661562356
357	0.2660657556
358	0.2659753369
359	0.2658954475
360	0.2657999009
361	0.2657243901
362	0.2656393218
363	0.2655435439
364	0.2654263276
365	0.2653017773
366	0.2652254744
367	0.2651243253
368	0.2650144089
369	0.2649343447
370	0.2647641188
371	0.2647215874
372	0.2646656246
373	0.2646135422
374	0.2644804003
375	0.2644245747
376	0.2643112329
377	0.2642061358
378	0.2641247554
379	0.2640486552
380	0.2639420169
381	0.2638523567
382	0.2637836936
383	0.263716833
384	0.2636443921
385	0.2635793386
386	0.2634780696
387	0.2634094098
388	0.2633692168
389	0.2633442963
390	0.2632834742
391	0.2632009603
392	0.2631449075
393	0.2630639688
394	0.2630022552
395	0.262917286
396	0.2628386039
397	0.2627693109
398	0.26269308
399	0.2626157282
400	0.2625786456
401	0.2624175316
402	0.2623337849
403	0.2622551629
404	0.2621428349
405	0.2620603517
406	0.2619553996
407	0.261875335
408	0.2617688245
409	0.261683682
410	0.2616050405
411	0.2615438925
412	0.261467188
413	0.2613753424
414	0.2613031398
415	0.261269351
416	0.2611986833
