iter	Passed	Remaining
0	1	156
1	3	151
2	4	135
3	5	128
4	6	121
5	7	116
6	8	113
7	9	110
8	10	108
9	11	106
10	12	104
11	13	102
12	15	102
13	16	100
14	17	98
15	18	98
16	19	97
17	21	96
18	22	94
19	23	93
20	24	92
21	25	90
22	26	89
23	27	88
24	28	86
25	30	85
26	31	84
27	32	83
28	33	81
29	34	80
30	35	79
31	36	78
32	37	77
33	39	75
34	40	74
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	67
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	78	35
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	87	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	110	2
98	111	1
99	112	0
